feature,gain,split
Neighborhood,54905.22879339883,12542
m²_(Gross),53399.81365936226,8689
District,40627.64631805068,9926
m²_(Net),5244.915361417923,6388
Floor_location,4863.623288904433,7579
Number_of_bathrooms,2640.957518420648,753
Heating,2337.226367891417,1094
Building_Age,2013.673768733628,6963
Number_of_floors,1550.1334177455865,5088
Air_conditioning,1497.7241283761105,389
net_gross_ratio,1193.999463019427,9152
listing_age_days,868.6954773697071,4459
Number_of_rooms,850.1870593539206,2029
Throat,845.7202572918031,336
Closed_Garage,794.7711454033852,506
amenity_count,770.6821556849172,5701
Sea,769.5880448026583,599
amenity_luxury_count,648.5614234523382,626
Generator,641.7685424871743,294
total_rooms,635.7171815030742,1210
Swap,509.4897376955487,635
Built-in_on,484.0642325617373,467
Adrtisement_Date_day,443.44923859648407,4844
Security,386.4444189183414,339
Pick_Up_Data_Time_dow,359.8822481366806,326
Rerse_Duplex,352.7076234128326,134
Blinds,347.1038173409179,108
Mezzanine,346.76662937691435,826
amenity_security_count,336.7395392630715,496
Garden_Floor,310.09380346140824,175
Dishwasher,280.92529010307044,218
District_Market,271.2144383229315,423
Using_status,265.7281054696068,1973
Adrtisement_Date_dow,245.40751641103998,3098
Parents'_Bathroom,240.33634590543807,281
Elevator.1,233.3583891503513,595
Swimming_Pool_(Open),224.34018411673605,205
Alaturka_Toilet,213.29737159004435,229
amenity_transport_count,208.69918166380376,1515
Kitchen_(Built-in),204.6830693690572,448
From_who,195.93357723066583,862
Pick_Up_Data_Time_month,182.7862914451398,344
The_church,158.8255455684848,202
Doorman,149.99421174591407,373
Balcony,147.3827597508207,499
Minibus,144.32736539840698,384
Roof_Duplex,137.17819002084434,213
Mosque,124.17672838456929,375
Swimming_Pool_(Indoor),116.02412422606722,101
Coast,106.93557705543935,333
Elevator,105.57261622324586,539
Metro,98.78296149428934,474
Laminate_Floor,95.21832028590143,513
City,91.64239058829844,611
Car_park,87.34381836466491,462
Plasterboard,86.59351993072778,523
Kitchen_Natural_Gas,86.51095034531318,573
Front_South,85.94243115186691,901
The_health_clinic,81.75664944434538,202
Booster,80.094387778081,373
Water_tank,76.14903233200312,361
Cemevi,71.58787364745513,249
Balcony.1,69.26555544277653,546
Tram,67.39722247840837,146
Painted,66.1741681015119,489
Nature,64.83071576105431,474
Barbecue,60.49572910927236,104
Refrigerator,59.956011867616326,107
E-5,59.94204896967858,406
PVC_Joinery,58.948579769115895,511
Sports_Area,57.88954596966505,158
Household_appliances,57.62214456917718,147
Dressing_room,57.39696548320353,155
Satellite,57.238309521228075,509
