feature,gain,split
Neighborhood__te,155845.34761671393,13294.2
m²_(Gross),120864.90478348274,16705.6
Neighborhood,70080.2285346317,39832.8
District__te,47059.51780203024,9413.0
District,42991.08307132049,36933.8
m²_(Net),23805.273023810205,12521.8
Number_of_rooms__te,15712.824725102615,7572.2
Number_of_bathrooms,11268.09123368261,2468.6
Floor_location,10303.642234501807,29060.2
Floor_location__te,7793.8858851551395,8743.2
Number_of_rooms,6784.951921829512,9168.8
Heating,6695.027446443424,2956.2
Building_Age,6609.970706251765,23408.0
Number_of_floors,4667.311838459272,18919.0
amenity_luxury_count,3968.594200874539,1864.6
Closed_Garage,2508.671014218312,852.0
Number_of_floors__te,2424.629374453312,8382.2
net_gross_ratio,2399.179739679636,15376.4
Air_conditioning,2382.290415234119,587.2
Generator,2203.760613556253,598.8
